,Номер,Наименование водного объекта,Азот нитритный,Азот аммонийный,Азот нитратный,Фенол,Нефтепродукты,Органические вещества (по ХПК),Железо,Медь,Цинк,Марганец,БПК5,Период наблюдений,Дата модификации
191,192,"р. Ишим, выше г. Ишима",0,0,0,1,1,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 12:42:17
192,193,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 12:42:55
193,194,"р. Ишим, в створе с. Абатское",0,0,0,0,1,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 12:43:37
194,195,"р. Тобол, в створе с. Коркино",0,1,0,1,0,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 16:33:21
195,196,"р. Тобол, выше г. Ялуторовска",0,1,0,0,1,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 16:34:17
196,197,"р. Тобол, ниже г. Ялуторовска",0,1,0,0,1,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 16:35:18
197,198,"р. Тобол, в створе с. Иевлево",0,1,0,0,0,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 16:36:13
198,199,"р. Тура, в створе с. Салаирка",0,1,0,1,1,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:25:42
199,200,"р. Тура, выше г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:26:54
200,201,"р. Тура, ниже г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:28:18
201,202,"р. Тура, в створе с. Покровское",1,1,0,0,0,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:29:19
202,203,"р. Ишим, в створе с. Ильинское",1,0,0,1,0,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:30:12
203,204,"р. Ишим, выше г. Ишима",0,0,0,0,1,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:31:11
204,205,"р. Ишим, ниже г. Ишима",0,0,0,0,1,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:32:04
205,206,"р. Ишим, в створе с. Абатское",1,0,0,0,1,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:33:01
206,207,"р. Тобол, в створе с. Коркино",1,1,0,0,0,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:33:59
207,208,"р. Тобол, выше г. Ялуторовска",0,1,0,0,1,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:36:30
208,209,"р. Тобол, ниже г. Ялуторовска",0,1,0,0,1,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:43:29
209,210,"р. Тобол, в створе с. Иевлево",1,1,0,0,0,0,0,0,0,0,0,2016-08-31 00:00:00,2016-07-09 16:44:33
210,211,"р. Тура, в створе с. Салаирка",0,1,0,0,1,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:27:05
211,212,"р. Тура, выше г. Тюмени",0,0,0,1,0,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:28:02
212,213,"р. Тура, ниже г. Тюмени",0,0,0,1,0,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:29:53
213,214,"р. Тура, в створе с. Покровское",0,0,0,0,0,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:30:42
214,215,"р. Ишим, в створе с. Ильинское",1,0,0,1,1,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:31:54
215,216,"р. Ишим, выше г. Ишима",0,1,0,0,1,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:33:23
216,217,"р. Ишим, ниже г. Ишима",0,1,0,0,1,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:34:34
217,218,"р. Ишим, в створе с. Абатское",0,0,0,0,0,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:37:11
218,219,"р. Тобол, в створе с. Коркино",0,0,0,1,0,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:38:03
219,220,"р. Тобол, выше г. Ялуторовска",0,1,0,1,1,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:42:38
220,221,"р. Тобол, ниже г. Ялуторовска",0,1,0,1,1,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:43:55
221,222,"р. Тобол, в створе с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,2016-09-30 00:00:00,2016-10-17 14:44:43
222,223,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2016-10-20 00:00:00,2016-02-12 10:33:05
223,224,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2016-10-20 00:00:00,2016-02-12 10:33:34
224,225,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2016-10-20 00:00:00,2016-02-12 10:34:13
225,226,"р. Ишим, в створе с. Ильинское",0,0,0,1,0,0,0,0,0,0,0,2016-10-20 00:00:00,2016-02-12 10:37:29
226,227,"р. Ишим, выше г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2016-10-20 00:00:00,2016-02-12 10:38:13
227,228,"р. Ишим, ниже г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2016-10-20 00:00:00,2016-02-12 10:38:40
228,229,"р. Тобол, в створе с. Коркино",1,1,0,0,0,0,0,0,0,0,0,2016-10-20 00:00:00,2016-02-12 12:08:11
229,230,"р. Тобол, выше г. Ялуторовска",1,0,0,1,0,0,0,0,0,0,0,2016-10-20 00:00:00,2016-02-12 12:08:50
230,231,"р. Тобол, ниже г. Ялуторовска",1,0,0,1,0,0,0,0,0,0,0,2016-10-20 00:00:00,2016-02-12 12:09:48
231,232,"р. Тура, в створе с. Салаирка",0,1,0,0,1,0,0,0,0,0,0,2016-11-18 00:00:00,2017-01-17 17:08:11
232,233,"р. Тура, выше г. Тюмени",0,1,0,0,1,0,0,0,0,0,0,2016-11-18 00:00:00,2017-01-17 17:09:04
233,234,"р. Тура, ниже г. Тюмени",0,1,0,0,1,0,0,0,0,0,0,2016-11-18 00:00:00,2017-01-17 17:09:44
234,235,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2016-11-18 00:00:00,2017-01-17 17:10:22
235,236,"р. Ишим, выше г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2016-11-18 00:00:00,2017-01-17 17:11:09
236,237,"р. Ишим, ниже г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2016-11-18 00:00:00,2017-01-17 17:11:39
237,238,"р. Тобол, в створе с. Коркино",1,0,0,0,1,0,0,0,0,0,0,2016-11-18 00:00:00,2017-01-17 17:13:31
238,239,"р. Тобол, выше г. Ялуторовска",1,0,0,0,0,0,0,0,0,0,0,2016-11-18 00:00:00,2017-01-17 17:14:32
239,240,"р. Тобол, ниже г. Ялуторовска",1,0,0,0,0,0,0,0,0,0,0,2016-11-18 00:00:00,2017-01-17 17:32:40
240,241,"р. Тура, в створе с. Салаирка",0,0,0,0,1,0,0,0,0,0,0,2016-12-20 00:00:00,2017-01-17 17:33:32
241,242,"р. Тура, выше г. Тюмени",1,1,0,1,1,0,0,0,0,0,0,2016-12-20 00:00:00,2017-01-17 17:34:29
242,243,"р. Тура, ниже г. Тюмени",1,1,0,1,1,0,0,0,0,0,0,2016-12-20 00:00:00,2017-01-17 17:35:05
243,244,"р. Ишим, в створе с. Ильинское",0,1,0,0,0,0,0,0,0,0,0,2016-12-20 00:00:00,2017-01-17 17:36:12
244,245,"р. Ишим, выше г. Ишима",0,1,0,1,0,0,0,0,0,0,0,2016-12-20 00:00:00,2017-01-17 17:37:00
245,246,"р. Ишим, ниже г. Ишима",0,1,0,1,0,0,0,0,0,0,0,2016-12-20 00:00:00,2017-01-17 17:37:36
246,247,"р. Тобол, в створе с. Коркино",0,1,0,1,0,0,0,0,0,0,0,2016-12-20 00:00:00,2017-01-17 17:39:13
247,248,"р. Тобол, выше г. Ялуторовска",1,0,0,1,1,0,0,0,0,0,0,2016-12-20 00:00:00,2017-01-17 17:40:14
248,249,"р. Тобол, ниже г. Ялуторовска",1,0,0,1,1,0,0,0,0,0,0,2016-12-20 00:00:00,2017-01-17 17:41:40
249,250,"р. Тура, в створе с. Салаирка",1,1,0,0,1,0,0,0,0,0,0,2017-01-20 00:00:00,2017-10-08 14:16:09
250,251,"р. Тура, в створе с. Салаирка",1,0,0,1,0,0,0,0,0,0,0,2017-02-20 00:00:00,2017-10-08 14:16:44
251,252,"р. Тура, в створе с. Салаирка",1,0,0,1,0,0,0,0,0,0,0,2017-03-20 00:00:00,2017-10-08 14:17:25
252,253,"р. Тура, в створе с. Салаирка",1,1,0,1,0,0,0,0,0,0,0,2017-04-20 00:00:00,2017-10-08 14:18:37
253,254,"р. Тура, в створе с. Салаирка",0,1,0,1,1,0,0,0,0,0,0,2017-05-22 00:00:00,2017-10-08 14:19:17
254,255,"р. Тура, в створе с. Салаирка",0,1,0,1,0,0,0,0,0,0,0,2017-06-20 00:00:00,2017-10-08 14:19:45
255,256,"р. Тура, в створе с. Салаирка",0,1,0,1,0,0,0,0,0,0,0,2017-07-20 00:00:00,2017-07-09 11:57:21
256,257,"р. Тура, выше г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2017-01-20 00:00:00,2017-10-08 14:24:30
257,258,"р. Тура, выше г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2017-02-20 00:00:00,2017-10-08 14:28:19
258,259,"р. Тура, выше г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2017-03-20 00:00:00,2017-10-08 14:28:50
259,260,"р. Тура, выше г. Тюмени",0,1,0,1,1,0,0,0,0,0,0,2017-04-20 00:00:00,2017-10-08 14:29:48
260,261,"р. Тура, выше г. Тюмени",0,1,0,1,1,0,0,0,0,0,0,2017-05-22 00:00:00,2017-10-08 14:30:21
261,262,"р. Тура, выше г. Тюмени",0,1,0,1,1,0,0,0,0,0,0,2017-06-20 00:00:00,2017-10-08 14:31:06
262,263,"р. Тура, выше г. Тюмени",0,1,0,1,0,0,0,0,0,0,0,2017-07-20 00:00:00,2017-10-08 14:31:28
263,264,"р. Тура, ниже г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2017-01-20 00:00:00,2017-10-08 14:41:40
264,265,"р. Тура, ниже г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2017-02-20 00:00:00,2017-10-08 14:42:04
265,266,"р. Тура, ниже г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2017-03-20 00:00:00,2017-10-08 14:44:25
266,267,"р. Тура, ниже г. Тюмени",0,1,0,1,1,0,0,0,0,0,0,2017-04-20 00:00:00,2017-10-08 14:48:04
267,268,"р. Тура, ниже г. Тюмени",0,1,0,1,1,0,0,0,0,0,0,2017-05-22 00:00:00,2017-10-08 14:51:54
268,269,"р. Тура, ниже г. Тюмени",0,1,0,1,1,0,0,0,0,0,0,2017-06-20 00:00:00,2017-10-08 14:52:19
269,270,"р. Тура, ниже г. Тюмени",0,1,0,1,0,0,0,0,0,0,0,2017-07-20 00:00:00,2017-10-08 14:52:41
270,271,"р. Тура, в створе с. Покровское",1,1,0,1,1,0,0,0,0,0,0,2017-04-20 00:00:00,2017-10-08 15:07:26
271,272,"р. Тура, в створе с. Покровское",0,1,0,0,0,0,0,0,0,0,0,2017-05-22 00:00:00,2017-10-08 15:07:53
272,273,"р. Тура, в створе с. Покровское",0,1,0,0,1,0,0,0,0,0,0,2017-06-20 00:00:00,2017-10-08 15:08:20
273,274,"р. Тура, в створе с. Покровское",0,1,0,0,1,0,0,0,0,0,0,2017-07-20 00:00:00,2017-10-08 15:08:41
274,275,"р. Ишим, в створе с. Ильинское",0,0,0,1,0,0,0,0,0,0,0,2017-01-20 00:00:00,2017-10-08 15:12:20
275,276,"р. Ишим, в створе с. Ильинское",0,0,0,1,0,0,0,0,0,0,0,2017-02-20 00:00:00,2017-10-08 15:12:54
276,277,"р. Ишим, в створе с. Ильинское",0,0,0,1,0,0,0,0,0,0,0,2017-03-20 00:00:00,2017-10-08 15:23:57
277,278,"р. Ишим, в створе с. Ильинское",0,1,0,1,0,0,0,0,0,0,0,2017-04-20 00:00:00,2017-10-08 15:24:21
278,279,"р. Ишим, в створе с. Ильинское",0,0,0,1,1,0,0,0,0,0,0,2017-05-22 00:00:00,2017-10-08 15:24:47
279,280,"р. Ишим, в створе с. Ильинское",0,0,0,0,1,0,0,0,0,0,0,2017-06-20 00:00:00,2017-10-08 15:25:10
280,281,"р. Ишим, в створе с. Ильинское",0,1,0,1,1,0,0,0,0,0,0,2017-07-20 00:00:00,2017-10-08 15:25:49
281,282,"р. Ишим, выше г. Ишима",0,1,0,1,0,0,0,0,0,0,0,2017-01-20 00:00:00,2017-10-08 16:28:51
282,283,"р. Ишим, выше г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2017-02-20 00:00:00,2017-10-08 16:29:16
283,284,"р. Ишим, выше г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2017-03-20 00:00:00,2017-10-08 16:29:40
284,285,"р. Ишим, выше г. Ишима",0,1,0,1,0,0,0,0,0,0,0,2017-04-20 00:00:00,2017-10-08 16:30:08
285,286,"р. Ишим, выше г. Ишима",0,1,0,0,1,0,0,0,0,0,0,2017-05-22 00:00:00,2017-10-08 16:30:41
286,287,"р. Ишим, выше г. Ишима",0,1,0,0,1,0,0,0,0,0,0,2017-06-20 00:00:00,2017-10-08 16:31:06
287,288,"р. Ишим, выше г. Ишима",0,1,0,0,1,0,0,0,0,0,0,2017-07-20 00:00:00,2017-10-08 16:31:30
288,289,"р. Ишим, ниже г. Ишима",0,1,0,1,0,0,0,0,0,0,0,2017-01-20 00:00:00,2017-10-08 16:59:58
289,290,"р. Ишим, ниже г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2017-02-20 00:00:00,2017-10-08 17:01:21
290,291,"р. Ишим, ниже г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2017-03-20 00:00:00,2017-10-08 17:02:51
291,292,"р. Ишим, ниже г. Ишима",0,1,0,1,0,0,0,0,0,0,0,2017-04-20 00:00:00,2017-10-08 17:03:16
292,293,"р. Ишим, ниже г. Ишима",0,1,0,0,1,0,0,0,0,0,0,2017-05-22 00:00:00,2017-10-08 17:03:41
293,294,"р. Ишим, ниже г. Ишима",0,0,0,1,1,0,0,0,0,0,0,2017-06-20 00:00:00,2017-10-08 17:04:03
294,295,"р. Ишим, ниже г. Ишима",0,1,0,0,1,0,0,0,0,0,0,2017-07-20 00:00:00,2017-10-08 17:05:17
295,296,"р. Ишим, в створе с. Абатское",0,1,0,1,0,0,0,0,0,0,0,2017-04-20 00:00:00,2017-10-08 17:06:25
296,297,"р. Ишим, в створе с. Абатское",0,1,0,0,0,0,0,0,0,0,0,2017-05-22 00:00:00,2017-10-08 17:06:50
297,298,"р. Ишим, в створе с. Абатское",0,0,0,0,1,0,0,0,0,0,0,2017-06-20 00:00:00,2017-10-08 17:07:40
298,299,"р. Ишим, в створе с. Абатское",0,1,0,0,1,0,0,0,0,0,0,2017-07-20 00:00:00,2017-10-08 17:08:06
299,300,"р. Тобол, в створе с. Коркино",1,1,0,0,0,0,0,0,0,0,0,2017-01-20 00:00:00,2017-11-08 11:24:18
300,301,"р. Тобол, в створе с. Коркино",0,1,0,0,0,0,0,0,0,0,0,2017-02-20 00:00:00,2017-11-08 11:24:41
301,302,"р. Тобол, в створе с. Коркино",0,0,0,0,1,0,0,0,0,0,0,2017-03-20 00:00:00,2017-11-08 11:25:07
302,303,"р. Тобол, в створе с. Коркино",1,1,0,0,1,0,0,0,0,0,0,2017-04-20 00:00:00,2017-11-08 11:25:43
303,304,"р. Тобол, в створе с. Коркино",0,1,0,1,1,0,0,0,0,0,0,2017-05-22 00:00:00,2017-11-08 11:26:25
304,305,"р. Тобол, в створе с. Коркино",0,1,0,0,0,0,0,0,0,0,0,2017-06-20 00:00:00,2017-11-08 11:26:51
305,306,"р. Тобол, в створе с. Коркино",0,0,0,0,1,0,0,0,0,0,0,2017-07-20 00:00:00,2017-11-08 11:27:27
306,307,"р. Тобол, выше г. Ялуторовска",1,0,0,1,1,0,0,0,0,0,0,2017-01-20 00:00:00,2017-11-08 11:28:38
307,308,"р. Тобол, выше г. Ялуторовска",1,1,0,0,0,0,0,0,0,0,0,2017-02-20 00:00:00,2017-11-08 11:29:05
308,309,"р. Тобол, выше г. Ялуторовска",1,1,0,1,0,0,0,0,0,0,0,2017-03-20 00:00:00,2017-11-08 11:29:34
309,310,"р. Тобол, выше г. Ялуторовска",1,1,0,1,0,0,0,0,0,0,0,2017-04-20 00:00:00,2017-11-08 11:30:28
310,311,"р. Тобол, выше г. Ялуторовска",0,1,0,0,0,0,0,0,0,0,0,2017-05-22 00:00:00,2017-11-08 11:30:51
311,312,"р. Тобол, выше г. Ялуторовска",0,1,0,0,0,0,0,0,0,0,0,2017-06-20 00:00:00,2017-11-08 11:31:15
312,313,"р. Тобол, выше г. Ялуторовска",0,1,0,0,1,0,0,0,0,0,0,2017-07-20 00:00:00,2017-11-08 11:31:39
313,314,"р. Тобол, ниже г. Ялуторовска",1,0,0,1,1,0,0,0,0,0,0,2017-01-20 00:00:00,2017-11-08 11:51:42
314,315,"р. Тобол, ниже г. Ялуторовска",1,1,0,0,0,0,0,0,0,0,0,2017-02-20 00:00:00,2017-11-08 11:52:43
315,316,"р. Тобол, ниже г. Ялуторовска",1,1,0,1,0,0,0,0,0,0,0,2017-03-20 00:00:00,2017-11-08 11:53:44
316,317,"р. Тобол, ниже г. Ялуторовска",1,1,0,1,0,0,0,0,0,0,0,2017-04-20 00:00:00,2017-11-08 11:54:09
317,318,"р. Тобол, ниже г. Ялуторовска",0,1,0,0,0,0,0,0,0,0,0,2017-05-22 00:00:00,2017-11-08 11:54:41
318,319,"р. Тобол, ниже г. Ялуторовска",0,1,0,0,0,0,0,0,0,0,0,2017-06-20 00:00:00,2017-11-08 11:55:27
319,320,"р. Тобол, ниже г. Ялуторовска",0,1,0,0,1,0,0,0,0,0,0,2017-07-20 00:00:00,2017-11-08 11:55:56
320,321,"р. Тобол, в створе с. Иевлево",1,1,0,1,0,0,0,0,0,0,0,2017-04-20 00:00:00,2017-11-08 11:57:01
321,322,"р. Тобол, в створе с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,2017-05-22 00:00:00,2017-11-08 11:58:15
322,323,"р. Тобол, в створе с. Иевлево",0,1,0,0,1,0,0,0,0,0,0,2017-06-20 00:00:00,2017-11-08 11:58:39
323,324,"р. Тобол, в створе с. Иевлево",0,1,0,0,1,0,0,0,0,0,0,2017-07-20 00:00:00,2017-11-08 11:58:59
324,325,"р. Тура, в створе с. Салаирка",1,1,0,0,0,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 11:58:34
325,326,"р. Тура, выше г. Тюмени",1,1,0,0,0,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 11:59:01
326,327,"р. Тура, ниже г. Тюмени",1,1,0,0,0,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 11:59:23
327,328,"р. Тура, в створе с. Покровское",0,1,0,0,1,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 12:00:16
328,329,"р. Ишим, в створе с. Ильинское",1,1,0,0,1,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 12:00:53
329,330,"р. Ишим, выше г. Ишима",0,1,0,0,1,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 12:01:25
330,331,"р. Ишим, ниже г. Ишима",0,1,0,0,1,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 12:01:56
331,332,"р. Ишим, в створе с. Абатское",1,1,0,1,1,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 12:02:35
332,333,"р. Тобол, в створе с. Коркино",1,1,0,0,1,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 12:03:10
333,334,"р. Тобол, выше г. Ялуторовска",1,1,0,1,1,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 12:03:46
334,335,"р. Тобол, ниже г. Ялуторовска",1,1,0,1,1,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 12:04:12
335,336,"р. Тобол, в створе с. Иевлево",1,1,0,1,1,0,0,0,0,0,0,2017-08-21 00:00:00,2017-07-09 12:04:42
336,337,"р. Тура, в створе с. Салаирка",0,1,0,0,0,0,0,0,0,0,0,2017-12-20 00:00:00,2018-11-01 16:59:08
337,338,"р. Тура, в створе с. Салаирка",0,1,0,1,0,0,0,0,0,0,0,2017-09-20 00:00:00,2018-11-01 17:01:44
338,339,"р. Тура, в створе с. Салаирка",0,0,0,1,0,0,0,0,0,0,0,2017-10-20 00:00:00,2018-11-01 17:02:40
339,340,"р. Тура, в створе с. Салаирка",0,1,0,0,0,0,0,0,0,0,0,2017-11-20 00:00:00,2018-11-01 17:03:15
340,341,"р. Тура, выше г. Тюмени",0,1,0,1,0,0,0,0,0,0,0,2017-09-20 00:00:00,2018-11-01 17:04:18
341,342,"р. Тура, выше г. Тюмени",0,0,0,1,1,0,0,0,0,0,0,2017-10-20 00:00:00,2018-11-01 17:04:51
342,343,"р. Тура, выше г. Тюмени",0,1,0,0,0,0,0,0,0,0,0,2017-11-20 00:00:00,2018-11-01 17:06:33
343,344,"р. Тура, выше г. Тюмени",1,1,0,0,0,0,0,0,0,0,0,2017-12-20 00:00:00,2018-11-01 17:07:36
344,345,"р. Тура, ниже г. Тюмени",0,1,0,1,0,0,0,0,0,0,0,2017-09-20 00:00:00,2018-11-01 17:09:49
345,346,"р. Тура, ниже г. Тюмени",0,1,0,1,1,0,0,0,0,0,0,2017-10-20 00:00:00,2018-11-01 17:10:33
346,347,"р. Тура, ниже г. Тюмени",0,1,0,0,0,0,0,0,0,0,0,2017-11-20 00:00:00,2018-11-01 17:11:14
347,348,"р. Тура, ниже г. Тюмени",1,1,0,0,0,0,0,0,0,0,0,2017-12-20 00:00:00,2018-11-01 17:13:04
348,349,"р. Тура, в створе с. Покровское",0,0,0,0,0,0,0,0,0,0,0,2017-10-20 00:00:00,2018-11-01 17:29:41
349,350,"р. Ишим, в створе с. Ильинское",1,0,0,1,0,0,0,0,0,0,0,2017-09-20 00:00:00,2018-12-01 16:01:41
350,351,"р. Ишим, в створе с. Ильинское",0,0,0,0,1,0,0,0,0,0,0,2017-10-20 00:00:00,2018-12-01 16:02:13
351,352,"р. Ишим, в створе с. Ильинское",0,0,0,1,1,0,0,0,0,0,0,2017-11-20 00:00:00,2018-12-01 16:02:43
352,353,"р. Ишим, в створе с. Ильинское",0,0,0,1,0,0,0,0,0,0,0,2017-12-20 00:00:00,2018-12-01 16:03:11
353,354,"р. Ишим, выше г. Ишима",0,0,0,0,1,0,0,0,0,0,0,2017-09-20 00:00:00,2018-12-01 16:03:52
354,355,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2017-10-20 00:00:00,2018-12-01 16:04:22
355,356,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2017-11-20 00:00:00,2018-12-01 16:04:50
356,357,"р. Ишим, выше г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2017-12-20 00:00:00,2018-12-01 16:05:23
357,358,"р. Ишим, ниже г. Ишима",0,1,0,0,1,0,0,0,0,0,0,2017-09-20 00:00:00,2018-12-01 16:06:05
358,359,"р. Ишим, ниже г. Ишима",0,0,0,0,1,0,0,0,0,0,0,2017-10-20 00:00:00,2018-12-01 16:06:44
359,360,"р. Ишим, ниже г. Ишима",0,0,0,0,1,0,0,0,0,0,0,2017-11-20 00:00:00,2018-12-01 16:07:16
360,361,"р. Ишим, ниже г. Ишима",0,0,0,0,1,0,0,0,0,0,0,2017-12-20 00:00:00,2018-12-01 16:10:03
361,362,"р. Ишим, в створе с. Абатское",0,0,0,1,1,0,0,0,0,0,0,2017-10-20 00:00:00,2018-12-01 16:10:46
362,363,"р. Тобол, в створе с. Коркино",0,1,0,0,0,0,0,0,0,0,0,2017-09-20 00:00:00,2018-12-01 16:11:54
363,364,"р. Тобол, в створе с. Коркино",0,0,0,0,1,0,0,0,0,0,0,2017-10-20 00:00:00,2018-12-01 16:12:24
364,365,"р. Тобол, в створе с. Коркино",0,0,0,0,1,0,0,0,0,0,0,2017-11-20 00:00:00,2018-12-01 16:12:54
365,366,"р. Тобол, в створе с. Коркино",0,0,0,0,1,0,0,0,0,0,0,2017-12-20 00:00:00,2018-12-01 16:13:18
366,367,"р. Тобол, выше г. Ялуторовска",1,1,0,0,1,0,0,0,0,0,0,2017-09-20 00:00:00,2018-12-01 16:14:10
367,368,"р. Тобол, выше г. Ялуторовска",0,0,0,1,1,0,0,0,0,0,0,2017-10-20 00:00:00,2018-12-01 16:14:54
368,369,"р. Тобол, выше г. Ялуторовска",1,0,0,0,1,0,0,0,0,0,0,2017-11-20 00:00:00,2018-12-01 16:15:29
369,370,"р. Тобол, выше г. Ялуторовска",1,0,0,1,1,0,0,0,0,0,0,2017-12-20 00:00:00,2018-12-01 16:16:00
370,371,"р. Тобол, ниже г. Ялуторовска",1,1,0,0,1,0,0,0,0,0,0,2017-09-20 00:00:00,2018-12-01 16:16:40
371,372,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,1,0,0,0,0,0,0,2017-10-20 00:00:00,2018-12-01 16:17:08
372,373,"р. Тобол, ниже г. Ялуторовска",1,0,0,0,1,0,0,0,0,0,0,2017-11-20 00:00:00,2018-12-01 16:17:49
373,374,"р. Тобол, ниже г. Ялуторовска",1,0,0,1,1,0,0,0,0,0,0,2017-12-20 00:00:00,2018-12-01 16:18:26
374,375,"р. Тобол, в створе с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,2017-10-20 00:00:00,2018-12-01 16:19:22
375,376,"р. Тура, в створе с. Салаирка",1,1,0,0,0,0,0,0,0,0,0,2018-01-19 00:00:00,2018-02-15 11:16:54
376,377,"р. Тура, выше г. Тюмени",1,1,0,0,0,0,0,0,0,0,0,2018-01-19 00:00:00,2018-02-15 11:17:30
377,378,"р. Тура, ниже г. Тюмени",1,1,0,0,0,0,0,0,0,0,0,2018-01-19 00:00:00,2018-02-15 11:17:52
378,379,"р. Ишим, в створе с. Ильинское",0,0,0,1,0,0,0,0,0,0,0,2018-01-19 00:00:00,2018-02-15 11:18:46
379,380,"р. Ишим, выше г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2018-01-19 00:00:00,2018-02-15 11:19:17
380,381,"р. Ишим, ниже г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2018-01-19 00:00:00,2018-02-15 11:19:39
381,382,"р. Тобол, в створе с. Коркино",0,0,0,1,0,0,0,0,0,0,0,2018-01-19 00:00:00,2018-02-15 11:20:17
382,383,"р. Тобол, выше г. Ялуторовска",1,1,0,1,1,0,0,0,0,0,0,2018-01-19 00:00:00,2018-02-15 11:21:02
383,384,"р. Тобол, ниже г. Ялуторовска",1,1,0,1,1,0,0,0,0,0,0,2018-01-19 00:00:00,2018-02-15 11:21:36
384,385,"р. Тура, в створе с. Салаирка",1,1,0,1,0,0,0,0,0,0,0,2018-02-20 00:00:00,2018-03-29 11:13:09
385,386,"р. Тура, выше г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2018-02-20 00:00:00,2018-03-29 11:13:47
386,387,"р. Тура, ниже г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2018-02-20 00:00:00,2018-03-29 11:14:17
387,388,"р. Тура, в створе с. Покровское",0,1,0,0,1,0,0,0,0,0,0,2018-02-20 00:00:00,2018-03-29 11:14:58
